NACA_index,TSR,Cp,Cp_max,Cp_avg,TSR_min,TSR_max,radius,height,chord,num_blades,solidity
NACA_0012,3.8158,0.281046,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,4.0526,0.146048,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,4.2895,0.016258,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,4.5263,0.0,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,4.7632,0.0,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,5.0,0.0,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,0.5,0.009901,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,0.7368,0.021022,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,0.9737,0.03847,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,1.2105,0.064535,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,1.4474,0.100823,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,1.6842,0.148569,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,1.9211,0.208223,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,2.1579,0.279082,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,2.3947,0.358249,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,2.6316,0.438715,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,2.8684,0.511683,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,3.1053,0.564285,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,3.3421,0.582941,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,3.5789,0.562582,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,3.8158,0.516577,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,4.0526,0.452034,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,4.2895,0.367479,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,4.5263,0.266276,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,4.7632,0.15552,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,5.0,0.047171,0.582941,0.284707,0.5,5.0,0.5,1.0,0.18,2,0.72
NACA_0012,0.5,0.004508,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,0.7368,0.009561,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,0.9737,0.017474,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,1.2105,0.029276,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,1.4474,0.045746,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,1.6842,0.067606,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,1.9211,0.09524,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,2.1579,0.128965,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,2.3947,0.168774,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,2.6316,0.21428,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,2.8684,0.264708,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,3.1053,0.318396,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,3.3421,0.372752,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,3.5789,0.425344,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,3.8158,0.472864,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,4.0526,0.51178,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,4.2895,0.539499,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
NACA_0012,4.5263,0.556679,0.573766,0.269248,0.5,5.0,0.5,2.0,0.08,2,0.32
